,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
Label,LAST,Len,"Honey, Michael K.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Michael K. Honey Papers""",P217,"""5294""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/uarchives/UA36_05_5294HoneyMichae"""
,CREATE,,,,,,,,
Label,LAST,Len,UNITE HERE (Organization). Local 8,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""UNITE HERE! Local 8 records""",P217,"""6290""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UniteHereLocal8_6290"""
,CREATE,,,,,,,,
Label,LAST,Len,"United Brotherhood of Carpenters and Joiners of America. Local 1289 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""United Brotherhood of Carpenters and Joiners of America Local 1289 records""",P217,"""1227""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UnitedBrotherhoodCarpentersJoinersAmerica1227"""
,CREATE,,,,,,,,
Label,LAST,Len,"United Brotherhood of Carpenters and Joiners of America. Local 131 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""United Brotherhood of Carpenters and Joiners of America, Local 131 Records""",P217,"""1228""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UnitedBrotherhoodCarpentersJoinersAmerica1228"""
,CREATE,,,,,,,,
Label,LAST,Len,"United Brotherhood of Carpenters and Joiners of America. District Council (Seattle, Wash.).",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""United Brotherhood of Carpenters and Joiners of America District Council Seattle records""",P217,"""1851""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UnitedBrotherhoodofCarpentersandJoinersofAmericaDistrictCouncilSeattleWash1851"""
,CREATE,,,,,,,,
Label,LAST,Len,United Faculty of Central,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""United Faculty of Central records""",P217,"""5684""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UnitedFacultyofCentral5684"""
,Q7887749,,,,,,,,
Label,Q7887749,Len,United Farm Workers,,,,,,
on focus list of Wikimedia project,Q7887749,P5008,Q98970039,,,,,,
archives at,Q7887749,P485,Q22096098,P1810,"""United Farm Workers records""",P217,"""3643""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UnitedFarmWorkers3643"""
,CREATE,,,,,,,,
Label,LAST,Len,United Workers Union-Independent,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""United Workers Union-Independent records""",P217,"""5690""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/UnitedWorkersUnionIndependent5690"""
,CREATE,,,,,,,,
Label,LAST,Len,"Velasco, Victorio A., d. 1968",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Victorio A. Velasco papers""",P217,"""1435""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/VelascoVictorioA1435"""
,CREATE,,,,,,,,
Label,LAST,Len,Washington Women in Trades Association,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Washington Women in Trades Association records""",P217,"""6234""",P973,""""""
,CREATE,,,,,,,,
Label,LAST,Len,United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry. Washington State Association,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Washington State Association of the U.A. Plumbers and Pipefitters records""",P217,"""5800""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/uarchives/WSAUAPlumbersPipefitters5800"""
,CREATE,,,,,,,,
Label,LAST,Len,Washington Committee for Occupational Safety and Health,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Washington Committee for Occupational Safety and Health collection""",P217,"""6205""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WashCOSH6205"""
,Q55137705,,,,,,,,
Label,Q55137705,Len,Washington Education Association,,,,,,
on focus list of Wikimedia project,Q55137705,P5008,Q98970039,,,,,,
archives at,Q55137705,P485,Q22096098,P1810,"""Washington Education Association records""",P217,"""0731""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WashingtonEducationAssociation0731"""
,CREATE,,,,,,,,
Label,LAST,Len,Washington State Council of Fire Fighters,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Washington State Council of Fire Fighters records""",P217,"""6041""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WashingtonStateCouncilofFirefighters6041"""
,CREATE,,,,,,,,
Label,LAST,Len,Washington State Federation of Teachers,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Washington State Federation of Teachers records""",P217,"""2201""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WashingtonStateFederationofTeachers2201"""
,Q7972262,,,,,,,,
Label,Q7972262,Len,Washington State Nurses Association,,,,,,
on focus list of Wikimedia project,Q7972262,P5008,Q98970039,,,,,,
archives at,Q7972262,P485,Q22096098,P1810,"""Washington State Nurses Association records""",P217,"""1385""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WashingtonStateNursesAssociation1385_1559_1807_1937"""
,CREATE,,,,,,,,
Label,LAST,Len,"Weiss, Joan (Labor activist)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Joan Weiss papers""",P217,"""6279""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WeissJoan6279"""
,CREATE,,,,,,,,
Label,LAST,Len,"Wells, Burt D.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Burt D. Wells papers""",P217,"""6176""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WellsBurtD6176"""
,CREATE,,,,,,,,
Label,LAST,Len,"Whitman, Frank",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Frank Whitman collection on Inlandboatmen’s Union of the Pacific strike against Crowley Maritime Corporation""",P217,"""5961""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WhitmanFrankCollection5961"""
,CREATE,,,,,,,,
Label,LAST,Len,"Wiley, Barbara (Barbara Beth), 1967-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Barb Wiley papers""",P217,"""5682""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WileyBarbara5682"""
,CREATE,,,,,,,,
Label,LAST,Len,Working Washington,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Working Washington ephemera collection""",P217,"""5892""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WorkingWashington5892"""
,CREATE,,,,,,,,
Label,LAST,Len,"Workmen's Circle/Arbeter Ring. Branch No. 304 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Workmen's Circle/Der Arbeter Ring Branch 304 records""",P217,"""1859""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/WorkmensCircleArbeterRingBranchNo304SeattleWash1859"""
,CREATE,,,,,,,,
Label,LAST,Len,"Yockey, Roger",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Roger Yockey papers""",P217,"""5825""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/YockeyRoger5825"""
,CREATE,,,,,,,,
Label,LAST,Len,"Yoneda, Karl G., 1906-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Karl G. Yoneda papers""",P217,"""1273""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/YonedaKarlG1273"""
